source,source_name,target,target_name,relation,entity_type,comment_role,sentiment,confidence,evidence,weight
place:B02F507872,中心广场(玉器街),entity:0d11cbf52b2a1d83,空间景观,评论呈现体验,体验主题,体验主题,正向,0.95,广场以蓝带（水景）、绿带（花草树木）、光带（夜景）为主题,1
place:B02F507872,中心广场(玉器街),entity:9ac595910fa83695,摄影打卡,评论呈现体验,体验主题,体验主题,正向,0.92,可以看看啊拍拍照,1
place:B02F507872,中心广场(玉器街),entity:26d70bea753d5fee,年味,评论呈现体验,体验主题,体验主题,正向,0.88,浓浓的年味,1
place:B02F508KA7,九江双蒸博物馆,entity:cd61d97883fe95e4,米酒文化,评论识别地方性,岭南地方性谱系,核心识别,正向,0.95,九江双蒸博物馆对了解双蒸解和米酒文化有很好的了解,1
place:B02F508KA7,九江双蒸博物馆,entity:68dd9b6cde9f2be5,九江双蒸,评论识别地方性,岭南地方性谱系,核心识别,正向,0.93,使我们了解九江双蒸米酒的百年的历史过程,1
place:B02F508KA7,九江双蒸博物馆,entity:c6ae15aaa64ba4e6,酒文化,评论识别地方性,岭南地方性谱系,核心识别,正向,0.9,一个有关酒文化的主题博物馆,1
place:B02F508KA7,九江双蒸博物馆,entity:0e7346b358a3d59d,青梅酒,评论识别地方性,岭南地方性谱系,伴随识别,正向,0.88,采购平价青梅酒,1
place:B02F508KA7,九江双蒸博物馆,entity:56f5180222f5f3ea,酒酿入菜,评论识别地方性,岭南地方性谱系,伴随识别,正向,0.87,品尝美味酒酿入菜佳餚,1
place:B02F508KA7,九江双蒸博物馆,entity:d2d0aa14df0b005d,醉酒小屋,评论呈现体验,体验主题,体验主题,正向,0.92,醉酒小屋很有意思，值得体验,1
place:B02F508KA7,九江双蒸博物馆,entity:a2034238c6c98731,展陈讲解,评论呈现体验,体验主题,体验主题,正向,0.94,讲解员姐姐很友爱，根据小朋友的情况生动讲解,1
place:B02F508KA7,九江双蒸博物馆,entity:defef074503c8b98,全酒宴,评论呈现体验,体验主题,体验主题,正向,0.89,还有全酒宴的呢,1
place:B0HDDK8M6O,九龙岩,entity:7f2e53566fc4be33,湛子,评论识别人物,人物谱系,背景提及,中性,0.85,附近还有湛子讲学的遗址，随意看看啦,1
place:B0HDDK8M6O,九龙岩,entity:9f74ea5d20178fc9,讲学遗址,评论识别空间,文化空间谱系,背景提及,中性,0.82,附近还有湛子讲学的遗址，随意看看啦,1
place:B0HDDK8M6O,九龙岩,entity:0d11cbf52b2a1d83,空间景观,评论呈现体验,体验主题,核心识别,正向,0.95,景色以峡谷自然风光为主,1
place:B0HDDK8M6O,九龙岩,entity:9ac595910fa83695,摄影打卡,评论呈现体验,体验主题,伴随识别,正向,0.9,拍照看景大约一小时吧,1
place:B0FFGM4O2F,仙湖度假区,entity:0d11cbf52b2a1d83,空间景观,评论呈现体验,体验主题,核心识别,正向,0.95,湖畔修了很多栈道，也有单车道,1
place:B0FFGM4O2F,仙湖度假区,entity:3f726c49dc70760b,商业消费,评论呈现体验,体验主题,伴随识别,正向,0.9,入住一次最高级那家度假酒店,1
place:B0JGYHX5I0,佛山市岭南金融博物馆(新馆),entity:712ccd6504e9df07,清代货币,评论识别历史,历史记忆谱系,核心识别,正向,0.95,涵盖了古钱、古钞、清代货币、民国各类货币,1
place:B0JGYHX5I0,佛山市岭南金融博物馆(新馆),entity:72e587404c506a9f,民国,评论识别历史,历史记忆谱系,核心识别,中性,0.92,聚焦于民国时期的金融动荡与变革,1
place:B0JGYHX5I0,佛山市岭南金融博物馆(新馆),entity:931bb77438128d5e,红色货币,评论识别历史,历史记忆谱系,核心识别,正向,0.93,通过红色货币的展示，让人们了解了革命时期的金融斗争,1
place:B0JGYHX5I0,佛山市岭南金融博物馆(新馆),entity:bee50dfa2f2f66e3,广东货币,评论识别地方性,岭南地方性谱系,核心识别,正向,0.88,专门展示了广东地区的金融发展历程,1
place:B0JGYHX5I0,佛山市岭南金融博物馆(新馆),entity:f2652d6660d65686,岭南,评论识别地方性,岭南地方性谱系,伴随识别,正向,0.85,更是岭南地区金融文化的生动写照,1
place:B0JGYHX5I0,佛山市岭南金融博物馆(新馆),entity:e4664c4f4854ee3c,庐江书院,评论识别空间,文化空间谱系,背景提及,中性,0.7,岭南金融博物馆选址为广州市越秀区教育路流水井 29 号庐江书院,1
place:B0JGYHX5I0,佛山市岭南金融博物馆(新馆),entity:3d7d0ab000b1755d,南越王,评论识别人物,人物谱系,背景提及,中性,0.75,最早追溯至南越王先祖政权建制之时,1
place:B0JGYHX5I0,佛山市岭南金融博物馆(新馆),entity:da705d72fad12e44,古代青铜器,评论识别非遗,非遗民俗谱系,伴随识别,正向,0.82,馆内藏有精美绝伦的古代青铜器、铜镜、陶器,1
place:B0JGYHX5I0,佛山市岭南金融博物馆(新馆),entity:a2034238c6c98731,展陈讲解,评论呈现体验,体验主题,体验主题,正向,0.9,不仅有专业的讲解员为你答疑解惑,1
place:B0JGYHX5I0,佛山市岭南金融博物馆(新馆),entity:b596e8027196e19c,文化认知,评论呈现体验,体验主题,体验主题,正向,0.88,让人在欣赏文物的同时，也对中国金融史有了更深入的了解,1
place:B0FFF0FDHE,佛山植物园,entity:0d11cbf52b2a1d83,空间景观,评论呈现体验,体验主题,核心识别,正向,0.95,进入佛山植物园犹如坠入一片绿海，所见之处林木莽莽,1
place:B0FFF0FDHE,佛山植物园,entity:b596e8027196e19c,文化认知,评论呈现体验,体验主题,核心识别,正向,0.92,仔细慢慢看树上挂着的标牌，能够学到很多关于植物方面的知识,1
place:B0FFF0FDHE,佛山植物园,entity:9ac595910fa83695,摄影打卡,评论呈现体验,体验主题,伴随识别,中性,0.85,适合喜欢安静的情侣拍拖,1
place:B02F506TYO,千灯湖,entity:f2652d6660d65686,岭南,评论识别地方性,岭南地方性谱系,背景提及,中性,0.85,还有岭南金融博物馆可以参观,1
place:B02F506TYO,千灯湖,entity:47be23c7bd41723d,博物馆,评论识别空间,文化空间谱系,核心识别,正向,0.92,岭南金融博物馆可以参观,1
place:B02F506TYO,千灯湖,entity:bf255e398b374940,大观博物馆,评论识别空间,文化空间谱系,核心识别,正向,0.95,如大观博物馆，为游客提供了深入了解当地文化历史的机会,1
place:B02F506TYO,千灯湖,entity:6fd2212c3d0b2b67,公共读书驿站,评论识别空间,文化空间谱系,伴随识别,正向,0.88,公园内设有公共读书驿站，提供了一个充满书香气息的环境,1
place:B02F506TYO,千灯湖,entity:73616be3350b183a,历史观测塔,评论识别空间,文化空间谱系,伴随识别,正向,0.82,如历史观测塔、水上茶亭、柏树茶店等,1
place:B02F506TYO,千灯湖,entity:c54657f785e2c0cf,水上茶亭,评论识别空间,文化空间谱系,伴随识别,正向,0.82,如历史观测塔、水上茶亭、柏树茶店等,1
place:B02F506TYO,千灯湖,entity:1d6aec441cdc92cb,石灯,评论识别空间,文化空间谱系,伴随识别,正向,0.78,我看到了许多造型各异的石灯，它们或高或矮，或古朴或精致,1
place:B02F506TYO,千灯湖,entity:eb040022542e1fb6,亭子,评论识别空间,文化空间谱系,伴随识别,正向,0.75,一座古色古香的亭子映入眼帘,1
place:B02F506TYO,千灯湖,entity:3028ea837990285a,礌岗塔,评论识别空间,文化空间谱系,背景提及,中性,0.8,也可走到礌岗塔（连通）,1
place:B02F506TYO,千灯湖,entity:bc166890b4840984,粤式茶点,评论识别地方性,岭南地方性谱系,核心识别,正向,0.9,集合在千灯食通天来过粤式茶点饱饱在去游湖,1
place:B02F506TYO,千灯湖,entity:dd633d765eb9311a,灯光秀,评论呈现体验,体验主题,核心识别,正向,0.93,千灯湖的灯光秀更是一大亮点,1
place:B02F506TYO,千灯湖,entity:b596e8027196e19c,文化认知,评论呈现体验,体验主题,核心识别,正向,0.89,为游客提供了深入了解当地文化历史的机会,1
place:B02F506TYO,千灯湖公园,entity:842bf04e4a40cd06,南国水乡特色,评论识别地方性,岭南地方性谱系,背景提及,正向,0.85,体现了水网纵横的南国水乡特色与传统历史风韵,1
place:B02F506TYO,千灯湖公园,entity:760d33614f5701c9,水上光影表演,评论呈现体验,体验主题,核心识别,正向,0.95,8 点和 9 点还有水上光影表演看，效果挺不错的,1
place:B02F506TYO,千灯湖公园,entity:ff1cf737abec2bb7,喷泉表演,评论呈现体验,体验主题,核心识别,中性,0.92,查好星期五，六的喷泉表演位置和時間,1
place:B02F506TYO,千灯湖公园,entity:0d11cbf52b2a1d83,空间景观,评论呈现体验,体验主题,伴随识别,正向,0.88,白天与黑夜完全是不同的感觉...华灯初上，成百上千盏灯同时将湖景照亮,1
place:B02F506TYO,千灯湖公园,entity:9ac595910fa83695,摄影打卡,评论呈现体验,体验主题,伴随识别,正向,0.9,摄影爱好者想拍夜景此处不错,1
place:B0HRVR1I92,千灯湖公园-南区,entity:1004067320a166dc,书画展,评论呈现体验,体验主题,伴随识别,正向,0.85,公园也经常举办各种文化活动，如书画展、音乐会等,1
place:B0HRVR1I92,千灯湖公园-南区,entity:1cb0a4929545ef82,音乐会,评论呈现体验,体验主题,伴随识别,正向,0.85,公园也经常举办各种文化活动，如书画展、音乐会等,1
place:B0HRVR1I92,千灯湖公园-南区,entity:34c1496b37b6d471,公共读书驿站,评论呈现体验,体验主题,背景提及,正向,0.78,公园内的公共读书驿站，为游客提供了一个静谧的阅读环境,1
place:B0FFIUK5ZQ,千灯湖公园北区,entity:2d4ac0e32dfcd911,岭南文化,评论识别地方性,岭南地方性谱系,背景提及,正向,0.65,让游客在游玩的同时领略到了岭南文化的独特魅力,1
place:B0FFIUK5ZQ,千灯湖公园北区,entity:8370508c2eba9643,金融博物馆,评论识别空间,文化空间谱系,背景提及,中性,0.85,还有这边的金融博物馆也是坐落在北区旁边,1
place:B0FFIUK5ZQ,千灯湖公园北区,entity:88dde9d4db470b02,大红灯笼,评论识别非遗,非遗民俗谱系,伴随识别,正向,0.75,大红灯笼已经高高挂起,1
place:B0FFIUK5ZQ,千灯湖公园北区,entity:c99a1548b7fdad28,太极拳,评论识别非遗,非遗民俗谱系,伴随识别,正向,0.8,你会看到一位大爷在练习太极拳,1
place:B0FFIUK5ZQ,千灯湖公园北区,entity:0d11cbf52b2a1d83,空间景观,评论呈现体验,体验主题,核心识别,正向,0.95,湖面上数千盏灯光渐次亮起...营造出一种梦幻般的氛围,1
place:B0FFIUK5ZQ,千灯湖公园北区,entity:9ac595910fa83695,摄影打卡,评论呈现体验,体验主题,核心识别,正向,0.9,虽然早上都陆陆续续有人黎打卡,1
place:9c67c9031c96,千灯湖创投特色小镇,entity:0d11cbf52b2a1d83,空间景观,评论呈现体验,体验主题,核心识别,正向,0.95,高楼林立间，校园风独栋低层办公楼错落有致，与周围的湖景和河景交相辉映,1
place:9c67c9031c96,千灯湖创投特色小镇,entity:9ac595910fa83695,摄影打卡,评论呈现体验,体验主题,核心识别,正向,0.92,吸引 d 人黎打卡,1
place:9c67c9031c96,千灯湖创投特色小镇,entity:dd633d765eb9311a,灯光秀,评论呈现体验,体验主题,核心识别,中性,0.88,听闻千灯湖创投小镇晚上有灯光骚,1
place:B0FFG4B8C9,南国桃园,entity:f2652d6660d65686,岭南,评论识别地方性,岭南地方性谱系,背景提及,正向,0.85,一处充满岭南风情的旅游胜地,1
place:B0FFG4B8C9,南国桃园,entity:c8fc16275f6c5fcf,南海观音寺,评论识别空间,文化空间谱系,核心识别,正向,0.95,南海观音寺。门票 10 元，当然也不能错过啦,1
place:B0FFG4B8C9,南国桃园,entity:4b4d1342137b53e5,古建筑,评论识别空间,文化空间谱系,伴随识别,正向,0.88,古建筑、雕塑、碑刻等艺术珍品遍布其间,1
place:B0FFG4B8C9,南国桃园,entity:cd195578fc0f18ca,碑刻,评论识别空间,文化空间谱系,伴随识别,正向,0.88,古建筑、雕塑、碑刻等艺术珍品遍布其间,1
place:B0FFG4B8C9,南国桃园,entity:fcd7b82d2aa5d210,南海影视城,评论识别空间,文化空间谱系,核心识别,中性,0.92,旁边还有个景点，南海影视城,1
place:B0FFG4B8C9,南国桃园,entity:dabb1758e2b9fa7a,汉服,评论识别地方性,岭南地方性谱系,体验主题,正向,0.8,穿汉服来拍照的小姐姐美到窒息,1
place:B0FFG4B8C9,南国桃园,entity:9e010edbb3d6d9db,珠江三角洲,评论识别地方性,岭南地方性谱系,背景提及,正向,0.75,这里是珠江三角洲内自然条件尚末受到人为破环、污染的地区之一,1
place:B0FFF3NK66,南海博物馆,entity:857a6f631c51480b,石景宜,评论识别人物,人物谱系,核心识别,正向,0.95,这个博物馆主要是介绍石景宜的事迹和他收藏的藏品,1
place:B0FFF3NK66,南海博物馆,entity:c9c36e4600677fe7,贝叶经,评论识别非遗,非遗民俗谱系,伴随识别,中性,0.88,有贝叶经、书画作品、工艺品等等,1
place:B0FFF3NK66,南海博物馆,entity:b1082eba5991aa19,南海记忆,评论识别历史,历史记忆谱系,核心识别,正向,0.92,博物馆方面的展览主要有南海记忆，这是介绍南海历史的,1
place:B0FFF3NK66,南海博物馆,entity:ce5c96ee96c900f2,非物质文化遗产,评论识别非遗,非遗民俗谱系,背景提及,中性,0.85,还有一个书画展览、名人展和非物质文化遗产的展览,1
place:B0FFF3NK66,南海博物馆,entity:f2652d6660d65686,岭南,评论识别地方性,岭南地方性谱系,背景提及,正向,0.75,南海人杰地灵,1
place:B0FFF3NK66,南海博物馆,entity:a2034238c6c98731,展陈讲解,评论呈现体验,体验主题,体验主题,正向,0.9,主要的展览在二楼...参观起来还是比较顺畅的,1
place:B0FFF3NK66,南海博物馆,entity:9ac595910fa83695,摄影打卡,评论呈现体验,体验主题,体验主题,正向,0.88,散散步拍拍照,1
place:B0FFF3NK66,南海博物馆,entity:b596e8027196e19c,文化认知,评论呈现体验,体验主题,体验主题,正向,0.91,可以了解到南海的历史,1
place:B02F50YH2H,南海湾森林生态园,entity:f2652d6660d65686,岭南,评论识别地方性,岭南地方性谱系,背景提及,正向,0.85,有着沁人心脾的原生态自然气息，不愧是南海人的避世佳境,1
place:B02F50YH2H,南海湾森林生态园,entity:907aefd2013ecd62,庆云洞,评论识别空间,文化空间谱系,核心识别,正向,0.95,岭南道场一绝庆云洞,1
place:B02F50YH2H,南海湾森林生态园,entity:816121a12731b673,接源桥,评论识别空间,文化空间谱系,伴随识别,正向,0.92,最具魅力古建筑 - 接源桥,1
place:B02F50YH2H,南海湾森林生态园,entity:7a4ca60efc9bcfeb,吕祖棋盘,评论识别历史,历史记忆谱系,伴随识别,中性,0.88,神仙圣地 - 吕祖棋盘,1
place:B02F50YH2H,南海湾森林生态园,entity:ebba1e02157565c6,康熙天下第一“福”字,评论识别历史,历史记忆谱系,伴随识别,中性,0.9,康熙天下第一“福”字等等,1
place:B02F50YH2H,南海湾森林生态园,entity:4b55dface0e9550a,庆云道观,评论识别空间,文化空间谱系,核心识别,正向,0.94,就像庆云道观旁边的牌匾上写的“最具魅力古建筑”,1
place:B02F50YH2H,南海湾森林生态园,entity:3a9a213b84d51749,道教文化,评论识别非遗,非遗民俗谱系,背景提及,正向,0.87,百年庆云洞道观祈福,1
place:B02F50YH2H,南海湾森林生态园,entity:0d11cbf52b2a1d83,空间景观,评论呈现体验,体验主题,体验主题,正向,0.96,溪水清澈，瀑布层叠，夏季清凉吸氧绝佳,1
place:B02F50YH2H,南海湾森林生态园,entity:9ac595910fa83695,摄影打卡,评论呈现体验,体验主题,体验主题,正向,0.93,拍照也是小清新的日系风,1
place:B02F503PVG,南海湿地主题公园,entity:0af3d39585d878d6,毛利土著文化,评论识别地方性,岭南地方性谱系,伴随识别,中性,0.85,展示了湿地生态资源和毛利土著文化,1
place:B02F503PVG,南海湿地主题公园,entity:5f2a592e4e447143,原始人的舞蹈表演,评论呈现体验,体验主题,核心识别,中性,0.9,还有原始人的舞蹈表演,1
place:a4bf812bb343,南海湿地公园,entity:0d11cbf52b2a1d83,空间景观,评论呈现体验,体验主题,核心识别,正向,0.95,沿途的风景很美，意境优美，对着江边挺舒服,1
place:a4bf812bb343,南海湿地公园,entity:9ac595910fa83695,摄影打卡,评论呈现体验,体验主题,伴随识别,正向,0.92,一路聊天，一路拍照,1
place:a4bf812bb343,南海湿地公园,entity:3f726c49dc70760b,商业消费,评论呈现体验,体验主题,伴随识别,正向,0.88,儿童游乐设施多，机动游戏玩，烧烤场，骑马,1
place:B0FFH42HYC,南海神庙,entity:5c3854c24a08df9e,祝融,评论识别人物,人物谱系,核心识别,正向,0.95,除海神祝融外，庙内珍藏着大量帝王祭碑,1
place:B0FFH42HYC,南海神庙,entity:e49adb13a672694a,韩愈,评论识别人物,人物谱系,伴随识别,正向,0.92,包括唐朝的韩愈碑,1
place:B0FFH42HYC,南海神庙,entity:9df947870b8cfa3c,苏东坡,评论识别人物,人物谱系,伴随识别,正向,0.92,因韩愈苏东坡到此并留诗而成扶胥浴日盛景,1
place:B0FFH42HYC,南海神庙,entity:a0dcea74b6cb88f0,明顺夫人,评论识别人物,人物谱系,背景提及,中性,0.88,宋朝的时候，还给南海神封了一位海神夫人～明顺夫人,1
place:B0FFH42HYC,南海神庙,entity:91dc7453f4f2461f,舞狮,评论识别非遗,非遗民俗谱系,伴随识别,正向,0.9,民风醇厚，舞狮龙舟等非遗文化得以保存,1
place:B0FFH42HYC,南海神庙,entity:541c3bd901268080,龙舟,评论识别非遗,非遗民俗谱系,伴随识别,正向,0.9,民风醇厚，舞狮龙舟等非遗文化得以保存,1
place:B0FFH42HYC,南海神庙,entity:1c0a428b06bee7df,波罗诞,评论识别非遗,非遗民俗谱系,核心识别,正向,0.96,每年农历二月十一至十三号，这里会举行南海神诞，又叫波罗诞,1
place:B0FFH42HYC,南海神庙,entity:daf8c7547d148e6a,浴日亭,评论识别空间,文化空间谱系,核心识别,正向,0.94,此地还有浴日亭，因韩愈苏东坡到此并留诗而成扶胥浴日盛景,1
place:B0FFH42HYC,南海神庙,entity:cd195578fc0f18ca,碑刻,评论识别空间,文化空间谱系,核心识别,正向,0.93,庙内珍藏着大量帝王祭碑和名人碑刻,1
place:B0FFH42HYC,南海神庙,entity:4c1247673d79f4d2,海事博物馆,评论识别空间,文化空间谱系,伴随识别,中性,0.85,附近新开了一座海事博物馆,1
place:B0FFH42HYC,南海神庙,entity:30e58243ac6b39dc,隋唐,评论识别历史,历史记忆谱系,背景提及,中性,0.91,始建于隋（公元 594 年）,1
place:B0FFH42HYC,南海神庙,entity:8b82788f67f37087,海上丝绸之路,评论识别历史,历史记忆谱系,核心识别,正向,0.94,见证了海上丝绸之路的起点,1
place:B0FFH42HYC,南海神庙,entity:dddfa5d67e22cfb5,祭海,评论识别历史,历史记忆谱系,核心识别,中性,0.92,古代皇帝祭海地,1
place:B0FFH42HYC,南海神庙,entity:f2652d6660d65686,岭南,评论识别地方性,岭南地方性谱系,伴随识别,正向,0.89,除此还有岭南风情的的建筑风格展示,1
place:B0FFH42HYC,南海神庙,entity:e4ff5cf43efee5a2,广府,评论识别地方性,岭南地方性谱系,背景提及,中性,0.75,是个广州的古地方,1
place:B0FFH42HYC,南海神庙,entity:a2034238c6c98731,展陈讲解,评论呈现体验,体验主题,体验主题,正向,0.88,船模展和出土文物展，让人惊叹于古代劳动人民的聪明才智,1
place:B0FFH42HYC,南海神庙,entity:0d11cbf52b2a1d83,空间景观,评论呈现体验,体验主题,体验主题,正向,0.9,绿树成荫，空气清新，遮天蔽日，蝉噪鸟鸣，林静庙幽,1
place:B0FFH42HYC,南海神庙,entity:b596e8027196e19c,文化认知,评论呈现体验,体验主题,体验主题,正向,0.87,让更多人了解南海社庙的历史,1
place:B0FFH22EBA,南海花卉博览园,entity:9ac595910fa83695,摄影打卡,评论呈现体验,体验主题,体验主题,正向,0.85,长得像各式各样各种色彩搭配的蝴蝶,1
place:B0FFH22EBA,南海花卉博览园,entity:0d11cbf52b2a1d83,空间景观,评论呈现体验,体验主题,体验主题,正向,0.88,整个过程非常过瘾,1
place:B0FFG0YUHE,南海观音寺,entity:dad5151b8c19d600,拜佛许愿还愿,评论识别非遗,非遗民俗谱系,核心识别,中性,0.95,听我姐说拜佛是一拜拜三年的，不然你之前拜佛许的愿都落空了，拜佛许愿是需要还愿的,1
place:B0FFG0YUHE,南海观音寺,entity:7076fd50f48d4d34,观音开库,评论识别非遗,非遗民俗谱系,核心识别,正向,0.98,每年农历正月二十六日为观音开库（亦即观音寺庙日）参拜的信徒达数万之众,1
place:B0FFG0YUHE,南海观音寺,entity:6c987551a65579ae,宫殿式寺宇,评论识别空间,文化空间谱系,伴随识别,正向,0.92,观音寺是属于宫殿式寺宇，安有上御道与龙雕,1
place:B0FFG0YUHE,南海观音寺,entity:5159eb3f8c45e16f,御道,评论识别空间,文化空间谱系,伴随识别,正向,0.9,观音寺的中轴线上有汉白玉九龙朝阳及莲花浮雕，名为御道,1
place:B0FFG0YUHE,南海观音寺,entity:65447d3e14f4625d,宋太宗淳化五年,评论识别历史,历史记忆谱系,背景提及,中性,0.88,南海观音寺建于公元 990 年（即宋太宗淳化五年），距今已有一千年历史,1
place:B0FFG0YUHE,南海观音寺,entity:51a6bcd467143988,佛家禅意,评论识别地方性,岭南地方性谱系,体验主题,正向,0.85,深的佛家禅意,1
place:B0FFG0YUHE,南海观音寺,entity:412efaf8f7127c19,烧香拜佛,评论识别非遗,非遗民俗谱系,核心识别,负向,0.93,我觉得烧香拜佛是自愿的，不能这样强迫客户消费,1
place:B0FFG0YUHE,南海观音寺,entity:9ac595910fa83695,摄影打卡,评论呈现体验,体验主题,体验主题,正向,0.8,做为佛山网红打卡点，是一个你来了就不想走的地方,1
place:B0LA2ULNM1,南海鹿尔花园,entity:0d11cbf52b2a1d83,空间景观,评论呈现体验,体验主题,体验主题,正向,0.95,环境不错，绿植也比较多,1
place:B0LA2ULNM1,南海鹿尔花园,entity:3f726c49dc70760b,商业消费,评论呈现体验,体验主题,体验主题,负向,0.92,门票比较贵,1
place:B0LA2ULNM1,南海鹿尔花园,entity:9004d3d5de467265,表演活动,评论呈现体验,体验主题,体验主题,中性,0.88,4D 电影,1
place:B0FFLEX7DN,叠滘水乡,entity:541c3bd901268080,龙舟,评论识别非遗,非遗民俗谱系,核心识别,正向,0.98,除了鼎鼎大名的龙舟比赛外,1
place:B0FFLEX7DN,叠滘水乡,entity:ce82cd4f5e6e56d8,水乡,评论识别地方性,岭南地方性谱系,伴随识别,正向,0.85,这里很有江南水乡的感觉,1
place:B0FFLEX7DN,叠滘水乡,entity:7683004613ab1aba,龙船漂移,评论识别非遗,非遗民俗谱系,核心识别,正向,0.96,尋根龍船漂移,1
place:B0FFLEX7DN,叠滘水乡,entity:423bef186a527645,河道,评论识别空间,文化空间谱系,伴随识别,正向,0.82,發現還有很多有意思的河道,1
place:B0FFLEX7DN,叠滘水乡,entity:34e0f9b0e03245cc,龙船文创,评论识别非遗,非遗民俗谱系,体验主题,正向,0.88,中國郵政的龍船文創店,1
place:B0FFLEX7DN,叠滘水乡,entity:9ac595910fa83695,摄影打卡,评论呈现体验,体验主题,体验主题,正向,0.9,打卡拍照好出片,1
place:B0FFLEX7DN,叠滘水乡,entity:f84017bdf5bad67e,画展,评论呈现体验,体验主题,体验主题,正向,0.85,还有画展,1
place:B02F50UTH5,叶问宗师馆,entity:64d266e76ec289ae,叶问,评论识别人物,人物谱系,核心识别,正向,0.98,因为叶问，咏春拳走向了全世界,1
place:B02F50UTH5,叶问宗师馆,entity:96e6271e1dd8484d,黄飞鸿,评论识别人物,人物谱系,伴随识别,正向,0.95,起初对佛山的全面印象，则来之于黄飞鸿,1
place:B02F50UTH5,叶问宗师馆,entity:2b94265b534d9972,咏春拳,评论识别非遗,非遗民俗谱系,核心识别,正向,0.96,了解咏春的文化,1
place:B02F50UTH5,叶问宗师馆,entity:8136453f5bc01264,祖屋,评论识别空间,文化空间谱系,核心识别,正向,0.92,叶问，祖屋,1
place:B02F50UTH5,叶问宗师馆,entity:1d1abd36471f17dd,传统粤式民居,评论识别空间,文化空间谱系,伴随识别,正向,0.91,很有意思，传统粤式民居,1
place:B02F50UTH5,叶问宗师馆,entity:f2652d6660d65686,岭南,评论识别地方性,岭南地方性谱系,背景提及,正向,0.89,非常具有岭南特色的功夫大师建筑物,1
place:B02F50UTH5,叶问宗师馆,entity:04fba69b45894b51,中国功夫,评论识别非遗,非遗民俗谱系,背景提及,正向,0.85,历史沉淀，叶问纪念馆，中国功夫,1
place:B02F50UTH5,叶问宗师馆,entity:b596e8027196e19c,文化认知,评论呈现体验,体验主题,体验主题,正向,0.93,第一次在真实世界里走进了两位大侠的生平事迹,1
place:B0FFFV3BG0,听音广场,entity:a74f7eadb634f4c9,康有为,评论识别人物,人物谱系,背景提及,中性,0.95,历史上留有康有为、詹天佑、黄飞鸿、董必武、郭沫若、霍韬、湛若水等名人足迹,1
place:B0FFFV3BG0,听音广场,entity:450e1440c68614a3,詹天佑,评论识别人物,人物谱系,背景提及,中性,0.95,历史上留有康有为、詹天佑、黄飞鸿、董必武、郭沫若、霍韬、湛若水等名人足迹,1
