ID,载体,载体类型,子类型,保护/认证等级,镇街,CMI,OAI,THI,MI,错位类型,文化等级,官方等级,旅游等级,三维组合,三维诊断,综合强度,文化旅游同高潜力,文化强旅游弱,旅游强文化弱,文化命中样例,旅游POI命中样例
ANC_0035,西樵山紫姑井,不可移动文物,古建筑,市级文物保护单位,西樵镇,98.68,50.0,49.34,-24.99,沉睡潜力区,高,高,中,文化高-官方高-旅游中,一般耦合：持续优化,66.01,否,否,否,山紫|樵山|紫姑井|西樵|西樵山,四峰书院遗址|九龙岩磨崖石刻|湛子讲学岩|湛子洞|青龙头
ANC_0138,西樵镇简村村,历史文化名村,广东省历史文化名村,广东省历史文化名村,西樵镇,82.96,75.0,34.19,-44.79,沉睡潜力区,高,高,中,文化高-官方高-旅游中,一般耦合：持续优化,64.05,否,否,否,简村|西樵|西樵镇,纽恩泰空气能热水器(民强桥店)|松叟公祠|松万二公祠|民强大桥(公交站)|明远家塾
ANC_0140,九江镇烟桥烟南村,历史文化名村,国家级传统村落,国家级传统村落,九江镇,84.51,100.0,7.09,-85.16,沉睡潜力区,高,高,低,文化高-官方高-旅游低,文化/官方较强-旅游弱：条件改善转化,63.87,否,是,否,九江|九江镇|南村|烟桥,烟南文化楼|烟南村
ANC_0053,白云洞摩崖石刻,不可移动文物,石窟寺及石刻,市级文物保护单位,西樵镇,67.78,50.0,73.63,14.74,空心景点区,高,高,高,文化高-官方高-旅游高,三维强耦合：优先品牌深化,63.8,是,否,否,摩崖石刻|白云|白云洞|石刻,西樵山风景名胜区-樵园公园|茶花园|西樵山-听音湖|白云洞风景区|西樵山风景名胜区-观音庙
NH_0014,糕点制作技艺（九江煎堆制作技艺）,非遗项目,传统技艺,省级非物质文化遗产代表性项目,九江镇,69.96,75.0,45.15,-27.33,沉睡潜力区,高,高,中,文化高-官方高-旅游中,一般耦合：持续优化,63.37,否,否,否,九江|九江煎堆,玄憬龙博物馆(暂停开放)|龙游古村|玄憬龙博物馆|新龙社区综合性文化服务中心|玄憬龙博物馆总馆(东2门)
NH_0015,九江鱼花生产习俗,非遗项目,民俗,省级非物质文化遗产代表性项目,九江镇,70.69,75.0,43.99,-28.85,沉睡潜力区,高,高,中,文化高-官方高-旅游中,一般耦合：持续优化,63.23,否,否,否,九江|九江鱼花,玄憬龙博物馆(暂停开放)|九江镇新龙村关氏宗祠|玄憬龙博物馆|玄憬龙博物馆总馆(东2门)|玄憬龙博物馆总馆(东3门)
NH_0005,九江双蒸酒酿制技艺,非遗项目,传统技艺,省级非物质文化遗产代表性项目,九江镇,70.12,75.0,43.99,-28.57,沉睡潜力区,高,高,中,文化高-官方高-旅游中,一般耦合：持续优化,63.04,否,否,否,九江|九江双蒸酒|双蒸酒,玄憬龙博物馆(暂停开放)|九江镇新龙村关氏宗祠|玄憬龙博物馆|新龙社区综合性文化服务中心|玄憬龙博物馆总馆(东2门)
ANC_0144,西樵镇百西村,历史文化名村,省级传统村落,省级传统村落,西樵镇,79.55,75.0,33.73,-43.55,沉睡潜力区,高,高,中,文化高-官方高-旅游中,一般耦合：持续优化,62.76,否,否,否,百西|百西村|西樵|西樵镇,村头村潘氏大宗祠|读书驿站(西樵百西社区站)|大地公园|百西桥头
ANC_0137,西樵镇松塘村,历史文化名村,国家级传统村落,国家级传统村落,西樵镇,80.39,100.0,4.48,-85.72,沉睡潜力区,高,高,低,文化高-官方高-旅游低,文化/官方较强-旅游弱：条件改善转化,61.62,否,是,否,松塘|松塘村|西樵|西樵镇,塱心大桥
ANC_0147,丹灶镇和平村,历史文化名村,省级传统村落,省级传统村落,丹灶镇,69.35,75.0,35.48,-36.69,沉睡潜力区,高,高,中,文化高-官方高-旅游中,一般耦合：持续优化,59.94,否,否,否,丹灶|丹灶镇,满祝龙舟训练基地|北塱村文化楼|伊洛村文化活动中心(东南门)|伊洛流徽|荔二潘公祠
ANC_0011,四峰书院遗址,不可移动文物,古遗址,省级文物保护单位,西樵镇,46.51,75.0,56.58,-4.18,一般耦合区,中,高,高,文化中-官方高-旅游高,一般耦合：持续优化,59.36,否,否,否,书院|四峰书院,西樵山桃花源农家乐|四峰书院遗址|大科书院|九龙岩磨崖石刻|寺边分场
ANC_0049,李子长墓,不可移动文物,古墓葬,市级文物保护单位,西樵镇,55.56,50.0,71.58,18.8,空心景点区,中,高,高,文化中-官方高-旅游高,一般耦合：持续优化,59.05,否,否,否,李子长|李子长墓,西樵山桃花源农家乐|四峰书院遗址|大科书院|九龙岩磨崖石刻|四方竹园
ANC_0012,霍韬夫人墓,不可移动文物,古墓葬,省级文物保护单位,西樵镇,45.34,75.0,56.58,-3.59,一般耦合区,中,高,高,文化中-官方高-旅游高,一般耦合：持续优化,58.97,否,否,否,霍韬,西樵山桃花源农家乐|四峰书院遗址|大科书院|九龙岩磨崖石刻|寺边分场
ANC_0124,西樵山天湖,文化景观,,,西樵镇,99.06,0.0,77.41,27.88,一般耦合区,高,低,高,文化高-官方低-旅游高,旅游强-文化或官方弱：文化叙事补强,58.82,是,否,否,天湖|樵山|西樵|西樵山|西樵山天湖公园,天湖公园|西樵山森吧飞越树上探险乐园|南海观音验(售)票处|宝峰寺|西樵山风景名胜区-假山
ANC_0072,烟桥何氏大宗祠,不可移动文物,古建筑,省级文物保护单位,九江镇,42.9,75.0,57.38,-1.57,一般耦合区,中,高,高,文化中-官方高-旅游高,一般耦合：持续优化,58.43,否,否,否,何氏大宗祠|大宗祠|宗祠|烟桥,烟南古村|烟桥古村|烟南南水村吴氏宗祠|何晃钊故居|烟桥村道与龙高路辅路交叉口
ANC_0015,白云古寺,不可移动文物,古建筑,市级文物保护单位,西樵镇,48.14,50.0,76.39,27.32,空心景点区,中,高,高,文化中-官方高-旅游高,一般耦合：持续优化,58.18,否,否,否,白云|白云古寺,西樵山风景名胜区-樵园公园|茶花园|西樵山-听音湖|白云洞风景区|西樵山风景名胜区-观音庙
ANC_0143,丹灶镇仙岗社区,历史文化名村,国家级传统村落,国家级传统村落,丹灶镇,69.35,100.0,4.48,-80.2,沉睡潜力区,高,高,低,文化高-官方高-旅游低,文化/官方较强-旅游弱：条件改善转化,57.94,否,是,否,丹灶|丹灶镇,无极养生园
ANC_0010,锦岩遗址,不可移动文物,古遗址,省级文物保护单位,西樵镇,25.62,75.0,68.75,18.44,空心景点区,中,高,高,文化中-官方高-旅游高,一般耦合：持续优化,56.46,否,否,否,锦岩,西樵山桃花源农家乐|四峰书院遗址|大科书院|九龙岩磨崖石刻|四方竹园
ANC_0146,九江镇烟桥村,历史文化名村,省级传统村落,省级传统村落,九江镇,84.77,75.0,7.09,-72.79,沉睡潜力区,高,高,低,文化高-官方高-旅游低,文化/官方较强-旅游弱：条件改善转化,55.62,否,是,否,九江|九江镇|烟桥|烟桥村,烟南文化楼|烟南村
ANC_0058,方献夫墓,不可移动文物,古墓葬,省级文物保护单位,丹灶镇,58.73,75.0,31.43,-35.43,沉睡潜力区,中,高,中,文化中-官方高-旅游中,一般耦合：持续优化,55.05,否,否,否,方献夫|方献夫墓,方献夫纪念馆|竹径村文化馆|良登村牌坊
NH_0028,九江灯谜,非遗项目,民俗,市级非物质文化遗产代表性项目,九江镇,69.28,50.0,45.15,-14.49,沉睡潜力区,高,高,中,文化高-官方高-旅游中,一般耦合：持续优化,54.81,否,否,否,九江,玄憬龙博物馆(暂停开放)|龙游古村|玄憬龙博物馆|新龙社区综合性文化服务中心|玄憬龙博物馆总馆(东2门)
NH_0037,平洲传统玉器制作技艺,非遗项目,传统技艺,市级非物质文化遗产代表性项目,桂城街道,57.28,50.0,56.63,2.99,核心耦合区,中,高,高,文化中-官方高-旅游高,一般耦合：持续优化,54.64,否,否,否,平洲,纯阳古庙|中国农业银行(南海平东支行)|GP综合格斗职业训练基地|黄树华咏春拳馆|昇宝百货(海天广场店)
ANC_0139,西樵镇百西村头村,历史文化名村,广东省历史文化名村,广东省历史文化名村,西樵镇,80.91,75.0,7.09,-70.86,沉睡潜力区,高,高,低,文化高-官方高-旅游低,文化/官方较强-旅游弱：条件改善转化,54.33,否,是,否,村头村|百西|百西村|西樵|西樵镇,东便文化楼|百东村党建文化公园
ANC_0013,宝峰胜处摩崖石刻,不可移动文物,石窟寺及石刻,省级文物保护单位,西樵镇,32.83,75.0,51.5,-2.42,一般耦合区,中,高,高,文化中-官方高-旅游高,一般耦合：持续优化,53.11,否,否,否,宝峰|宝峰胜处|摩崖石刻|石刻,西樵山南海观音|傅氏宗祠|西樵山宝峰寺|四面佛|西樵山风景名胜区-财神庙
ANC_0045,枕流亭,不可移动文物,古建筑,市级文物保护单位,西樵镇,31.9,50.0,77.36,36.41,空心景点区,中,高,高,文化中-官方高-旅游高,一般耦合：持续优化,53.09,否,否,否,枕流亭,西樵山风景名胜区-樵园公园|茶花园|天湖公园|白云洞风景区|西樵山风景名胜区-观音庙
ANC_0014,奎光楼,不可移动文物,古建筑,市级文物保护单位,西樵镇,32.0,50.0,76.96,35.95,空心景点区,中,高,高,文化中-官方高-旅游高,一般耦合：持续优化,52.99,否,否,否,奎光楼,西樵山风景名胜区-樵园公园|茶花园|西樵山-听音湖|白云洞风景区|西樵山风景名胜区-观音庙
ANC_0002,绮亭陈公祠,不可移动文物,古建筑,省级文物保护单位,西樵镇,29.4,75.0,54.38,2.18,一般耦合区,中,高,高,文化中-官方高-旅游高,一般耦合：持续优化,52.93,否,否,否,公祠|绮亭陈公祠,佛山活体昆虫博物馆|简村社区村史馆|陈启沅纪念馆|简村西便文化楼|塘基队文化楼
ANC_0068,崔氏大宗祠,不可移动文物,古建筑,省级文物保护单位,九江镇,38.72,75.0,44.31,-12.55,一般耦合区,中,高,中,文化中-官方高-旅游中,一般耦合：持续优化,52.68,否,否,否,大宗祠|宗祠|崔氏大宗祠,沙头文体公园|黄佰祥武术馆|粤韵观赏鱼|圣母殿|龙一村文化楼
ANC_0043,小云亭,不可移动文物,古建筑,市级文物保护单位,西樵镇,29.66,50.0,77.78,37.95,空心景点区,中,高,高,文化中-官方高-旅游高,一般耦合：持续优化,52.48,否,否,否,小云亭,西樵山风景名胜区-樵园公园|茶花园|天湖公园|西樵山-听音湖|白云洞风景区
ANC_0046,吉水窦,不可移动文物,古建筑,市级文物保护单位,西樵镇,32.99,50.0,73.88,32.39,空心景点区,中,高,高,文化中-官方高-旅游高,一般耦合：持续优化,52.29,否,否,否,吉水|吉水窦,佛子庙|五显古庙|西樵龙狮武术运动协会青联龙狮训练基地|郭伟湛咏春拳术总会|僧道守云门
NH_0018,龙舟说唱,非遗项目,曲艺,市级非物质文化遗产代表性项目,桂城街道,63.81,50.0,42.64,-14.27,沉睡潜力区,高,高,中,文化高-官方高-旅游中,一般耦合：持续优化,52.15,否,否,否,龙舟|龙舟说唱,半月岛生态公园(南海段)|桂城半月岛生态公园-露营地|龙湾足球公园|龙湾足球公园(东南门)|桂城半月岛生态公园-粤野露营地
ANC_0071,慈悲宫牌坊,不可移动文物,古建筑,省级文物保护单位,九江镇,31.51,75.0,48.43,-4.82,一般耦合区,中,高,中,文化中-官方高-旅游中,一般耦合：持续优化,51.65,否,否,否,慈悲宫|牌坊,探花公园|新东方文化辅导园|蓝图文化中心|方太(九江国美信基广场店)|威力斯健身(信基广场店)
NH_0006,赛龙舟（九江传统龙舟）,非遗项目,传统体育,省级非物质文化遗产代表性项目,九江镇,78.11,75.0,0.0,-76.55,沉睡潜力区,高,高,低,文化高-官方高-旅游低,文化/官方较强-旅游弱：条件改善转化,51.04,否,是,否,九江|赛龙|赛龙舟|龙舟,
ANC_0003,象林塔,不可移动文物,古建筑,省级文物保护单位,西樵镇,0.0,75.0,77.68,40.18,空心景点区,低,高,高,文化低-官方高-旅游高,旅游强-文化或官方弱：文化叙事补强,50.89,否,否,是,,西樵山风景名胜区-樵园公园|茶花园|西樵山-听音湖|白云洞风景区|西樵山风景名胜区-观音庙
ANC_0047,第弌洞天牌坊,不可移动文物,古建筑,市级文物保护单位,西樵镇,27.51,50.0,74.73,35.97,空心景点区,中,高,高,文化中-官方高-旅游高,一般耦合：持续优化,50.75,否,否,否,牌坊,西樵山风景名胜区-樵园公园|茶花园|西樵山-听音湖|白云洞风景区|西樵山风景名胜区-观音庙
ANC_0141,丹灶镇仙岗村,历史文化名村,广东省历史文化名村,广东省历史文化名村,丹灶镇,70.47,75.0,4.48,-68.26,沉睡潜力区,高,高,低,文化高-官方高-旅游低,文化/官方较强-旅游弱：条件改善转化,49.98,否,是,否,丹灶|丹灶镇|仙岗村,南海实验学校
ANC_0036,西樵山仙姑亭,不可移动文物,古建筑,市级文物保护单位,西樵镇,98.55,50.0,0.0,-74.28,沉睡潜力区,高,高,低,文化高-官方高-旅游低,文化/官方较强-旅游弱：条件改善转化,49.52,否,是,否,樵山|西樵|西樵山,
ANC_0142,丹灶镇南沙棋盘村,历史文化名村,广东省历史文化名村,广东省历史文化名村,丹灶镇,70.98,75.0,0.0,-72.99,沉睡潜力区,高,高,低,文化高-官方高-旅游低,文化/官方较强-旅游弱：条件改善转化,48.66,否,是,否,丹灶|丹灶镇|棋盘村,
ANC_0145,丹灶镇棋盘村,历史文化名村,省级传统村落,省级传统村落,丹灶镇,70.98,75.0,0.0,-72.99,沉睡潜力区,高,高,低,文化高-官方高-旅游低,文化/官方较强-旅游弱：条件改善转化,48.66,否,是,否,丹灶|丹灶镇|棋盘村,
ANC_0070,良二千石牌坊,不可移动文物,古建筑,省级文物保护单位,九江镇,32.26,75.0,38.21,-15.42,一般耦合区,中,高,中,文化中-官方高-旅游中,一般耦合：持续优化,48.49,否,否,否,牌坊|石牌坊,九江镇下西上基文化楼|佛山市始一书院|好万家购物广场(九江店)|伊蕾名店(好万家购物广场东南)|摩登米兰购物广场
ANC_0076,三元桥,不可移动文物,古建筑,市级文物保护单位,九江镇,29.66,50.0,65.29,25.46,空心景点区,中,高,高,文化中-官方高-旅游高,一般耦合：持续优化,48.32,否,否,否,三元桥,红棉公园|吴家大院|九江侨乡博物馆|卓弘艺术空间|儒林历史文化陈列馆
ANC_0027,松塘区氏宗祠,不可移动文物,古建筑,市级文物保护单位,西樵镇,47.45,50.0,46.88,-1.84,一般耦合区,中,高,中,文化中-官方高-旅游中,一般耦合：持续优化,48.11,否,否,否,区氏|宗祠|松塘|松塘区氏,迎宾广场|佛山市南海区福厚博物馆|区梦觉故居|区梦觉生平事迹展陈馆|玉泉祖祠
ANC_0055,冯夏威墓,不可移动文物,近现代重要史迹及代表性建筑,市级文物保护单位,西樵镇,26.45,50.0,67.7,29.47,空心景点区,中,高,高,文化中-官方高-旅游高,一般耦合：持续优化,48.05,否,否,否,冯夏威,读书驿站(西樵文化中心站)(暂停营业)|南海农商银行(西樵支行)|西樵镇-醒狮之乡|西樵成人文化技术学校|日月星文化艺术中心
ANC_0042,湖山胜迹门楼,不可移动文物,古建筑,市级文物保护单位,西樵镇,14.7,50.0,78.27,45.92,空心景点区,中,高,高,文化中-官方高-旅游高,一般耦合：持续优化,47.66,否,否,否,门楼,西樵山风景名胜区-樵园公园|茶花园|天湖公园|西樵山-听音湖|白云洞风景区
ANC_0017,龙母庙,不可移动文物,近现代重要史迹及代表性建筑,市级文物保护单位,西樵镇,42.25,50.0,50.37,4.25,一般耦合区,中,高,中,文化中-官方高-旅游中,一般耦合：持续优化,47.54,否,否,否,黄岐龙母庙|龙母|龙母庙,读书驿站(西樵文化中心站)(暂停营业)|南海农商银行(西樵支行)|僧道守云门|西樵成人文化技术学校|西樵山风景名胜区-天镇峰公园
NH_0029,丹灶葛洪炼丹传说,非遗项目,民间文学,市级非物质文化遗产代表性项目,丹灶镇,59.88,50.0,27.81,-27.13,沉睡潜力区,中,高,中,文化中-官方高-旅游中,一般耦合：持续优化,45.9,否,否,否,丹灶|葛洪,蔡李佛丹灶武术馆
NH_0011,金箔锻造技艺,非遗项目,传统技艺,省级非物质文化遗产代表性项目,大沥镇,20.59,75.0,40.94,-6.85,一般耦合区,中,高,中,文化中-官方高-旅游中,一般耦合：持续优化,45.51,否,否,否,金箔锻造技艺,一越搏击格斗馆|沙溪公园(西南门)|南海区大沥镇乡村学校少年宫|韵达快递物流(韵达黄岐万达广场分部)|停车场(公园路)
NH_0026,西樵大饼制作技艺,非遗项目,传统技艺,市级非物质文化遗产代表性项目,西樵镇,72.16,50.0,14.19,-46.89,沉睡潜力区,高,高,中,文化高-官方高-旅游中,一般耦合：持续优化,45.45,否,否,否,西樵|西樵大饼,简村西便文化楼|绮亭陈公祠|陈启沅纪念馆(西南门)|启沅公园|特斯拉目的地充电站(西樵简村启沅公园停车场)
NH_0048,西樵山传说,非遗项目,民间文学,区级非物质文化遗产代表性项目,西樵镇,98.55,25.0,11.57,-50.21,沉睡潜力区,高,低,低,文化高-官方低-旅游低,一般耦合：持续优化,45.04,否,是,否,樵山|西樵|西樵山,绮亭陈公祠|陈启沅纪念馆(西南门)|启沅公园|西樵镇简村李家队祠堂|元礼陈公祠
ANC_0034,区梦觉故居,不可移动文物,近现代重要史迹及代表性建筑,市级文物保护单位,西樵镇,36.48,50.0,46.88,3.64,一般耦合区,中,高,中,文化中-官方高-旅游中,一般耦合：持续优化,44.45,否,否,否,区梦觉,迎宾广场|佛山市南海区福厚博物馆|区梦觉故居|区梦觉生平事迹展陈馆|玉泉祖祠
ANC_0030,松塘塘西六世祖祠,不可移动文物,古建筑,市级文物保护单位,西樵镇,32.99,50.0,49.01,7.52,一般耦合区,中,高,中,文化中-官方高-旅游中,一般耦合：持续优化,44.0,否,否,否,松塘|祖祠,迎宾广场|区梦觉故居|区梦觉生平事迹展陈馆|玉泉祖祠|翘秀园
NH_0023,西樵传统缫丝技艺,非遗项目,传统技艺,市级非物质文化遗产代表性项目,西樵镇,70.87,50.0,10.39,-50.04,沉睡潜力区,高,高,低,文化高-官方高-旅游低,文化/官方较强-旅游弱：条件改善转化,43.75,否,是,否,西樵,绮亭陈公祠|陈启沅纪念馆(西南门)|西樵镇简村李家队祠堂|元礼陈公祠
ANC_0052,翠岩摩崖石刻,不可移动文物,石窟寺及石刻,市级文物保护单位,西樵镇,29.4,50.0,51.5,11.8,空心景点区,中,高,高,文化中-官方高-旅游高,一般耦合：持续优化,43.63,否,否,否,摩崖石刻|石刻,西樵山南海观音|傅氏宗祠|西樵山宝峰寺|四面佛|西樵山风景名胜区-财神庙
ANC_0026,松塘六世祖祠,不可移动文物,古建筑,市级文物保护单位,西樵镇,32.99,50.0,46.88,5.39,一般耦合区,中,高,中,文化中-官方高-旅游中,一般耦合：持续优化,43.29,否,否,否,松塘|祖祠,迎宾广场|佛山市南海区福厚博物馆|区梦觉故居|区梦觉生平事迹展陈馆|玉泉祖祠
NH_0054,松塘村孔子诞,非遗项目,民俗,区级非物质文化遗产代表性项目,西樵镇,64.76,25.0,39.67,-5.21,一般耦合区,高,低,中,文化高-官方低-旅游中,一般耦合：持续优化,43.14,否,否,否,孔子|松塘|松塘村,民乐和平村文化楼|北塱文化楼|聚贤堂第六训练基地(关西一街)|纳智文化艺术中心|三队文化楼
NH_0051,花灯制作技艺,非遗项目,传统技艺,区级非物质文化遗产代表性项目,桂城街道,45.27,25.0,57.48,22.34,空心景点区,中,低,高,文化中-官方低-旅游高,旅游强-文化或官方弱：文化叙事补强,42.58,否,否,否,乐安花灯|乐安花灯会|花灯|莲花灯|黄飞鸿大闹花灯,GP综合格斗馆|弘海咏春搏击俱乐部|守一書院|桂城街道社会政策观测站|怡翠公园(北门)
ANC_0044,光分亭,不可移动文物,古建筑,市级文物保护单位,西樵镇,0.0,50.0,77.57,52.57,空心景点区,低,高,高,文化低-官方高-旅游高,旅游强-文化或官方弱：文化叙事补强,42.52,否,否,是,,茶花园|白云洞风景区|西樵山风景名胜区-观音庙|樵山文化中心|西樵山白云古寺-客堂
ANC_0032,松塘太史第,不可移动文物,古建筑,市级文物保护单位,西樵镇,29.66,50.0,46.88,7.05,一般耦合区,中,高,中,文化中-官方高-旅游中,一般耦合：持续优化,42.18,否,否,否,太史第|松塘,迎宾广场|佛山市南海区福厚博物馆|区梦觉故居|区梦觉生平事迹展陈馆|玉泉祖祠
ANC_0041,百西潘氏大宗祠,不可移动文物,古建筑,市级文物保护单位,西樵镇,48.16,50.0,27.81,-21.27,沉睡潜力区,中,高,中,文化中-官方高-旅游中,一般耦合：持续优化,41.99,否,否,否,大宗祠|宗祠|潘氏|潘氏大宗祠|百西,村头村潘氏大宗祠
ANC_0018,傅氏宗祠,不可移动文物,近现代重要史迹及代表性建筑,市级文物保护单位,西樵镇,32.99,50.0,42.18,0.68,一般耦合区,中,高,中,文化中-官方高-旅游中,一般耦合：持续优化,41.72,否,否,否,宗祠,傅氏宗祠|西樵山风景名胜区-财神庙|景良亭|天海亭|石屏风
ANC_0080,李卓峰墓,不可移动文物,近现代重要史迹及代表性建筑,市级文物保护单位,九江镇,40.99,50.0,33.63,-11.87,沉睡潜力区,中,高,中,文化中-官方高-旅游中,一般耦合：持续优化,41.54,否,否,否,李卓峰|李卓峰墓,天主堂|读书驿站(九江中心小学站)|石埠桥(公交站)|培优文化艺术中心|观文轮胎店
NH_0045,佛鹤狮头制作,非遗项目,传统技艺,区级非物质文化遗产代表性项目,桂城街道,38.33,25.0,60.5,28.83,空心景点区,中,低,高,文化中-官方低-旅游高,旅游强-文化或官方弱：文化叙事补强,41.28,否,否,否,佛鹤狮|狮头,三山森林公园|三山森林公园2期|读书驿站(桂城三鸣台站)|读书驿站(桂城三山港小学站)|涌源文化中心
ANC_0008,佛子庙镇头遗址,不可移动文物,古遗址,省级文物保护单位,西樵镇,17.38,75.0,31.28,-14.91,一般耦合区,中,高,中,文化中-官方高-旅游中,一般耦合：持续优化,41.22,否,否,否,佛子庙,宝莲寺|宝莲禅院
NH_0012,庙会（大仙诞庙会）,非遗项目,民俗,省级非物质文化遗产代表性项目,西樵镇,38.73,75.0,8.95,-47.91,沉睡潜力区,中,高,低,文化中-官方高-旅游低,文化/官方较强-旅游弱：条件改善转化,40.89,否,否,否,大仙诞|庙会,丁家村文化楼|丁氏宗祠|三多村罗家文化楼
ANC_0029,松塘甘井,不可移动文物,古建筑,市级文物保护单位,西樵镇,19.99,50.0,51.65,16.66,空心景点区,中,高,高,文化中-官方高-旅游高,一般耦合：持续优化,40.55,否,否,否,松塘,迎宾广场|佛山市南海区福厚博物馆|区梦觉故居|区梦觉生平事迹展陈馆|玉泉祖祠
ANC_0031,松塘培元书舍,不可移动文物,古建筑,市级文物保护单位,西樵镇,19.99,50.0,51.65,16.66,空心景点区,中,高,高,文化中-官方高-旅游高,一般耦合：持续优化,40.55,否,否,否,松塘,迎宾广场|佛山市南海区福厚博物馆|区梦觉故居|区梦觉生平事迹展陈馆|玉泉祖祠
ANC_0033,松塘翘秀园,不可移动文物,古建筑,市级文物保护单位,西樵镇,19.99,50.0,51.65,16.66,空心景点区,中,高,高,文化中-官方高-旅游高,一般耦合：持续优化,40.55,否,否,否,松塘,迎宾广场|佛山市南海区福厚博物馆|区梦觉故居|区梦觉生平事迹展陈馆|玉泉祖祠
ANC_0079,朱子襄墓,不可移动文物,古墓葬,市级文物保护单位,九江镇,30.38,50.0,38.87,-1.32,一般耦合区,中,高,中,文化中-官方高-旅游中,一般耦合：持续优化,39.75,否,否,否,朱子,九江镇下西上基文化楼|佛山市始一书院|好万家购物广场(九江店)|伊蕾名店(好万家购物广场东南)|摩登米兰购物广场
ANC_0163,九江圩,圩市街区,,,九江镇,69.84,0.0,48.8,13.88,一般耦合区,高,低,中,文化高-官方低-旅游中,一般耦合：持续优化,39.55,否,否,否,九江|九江圩,红棉公园|儒林历史文化陈列馆|读书驿站(九江儒林社区站)|红棉公园-公共厕所|人民桥
ANC_0064,东联吴氏大宗祠,不可移动文物,古建筑,市级文物保护单位,丹灶镇,36.48,50.0,31.57,-11.67,沉睡潜力区,中,高,中,文化中-官方高-旅游中,一般耦合：持续优化,39.35,否,否,否,大宗祠|宗祠,吴氏宗祠
