source,target,relation,confidence
松塘村,万历丙午,始建于,0.8
黎春曦,九江镇,盛产,0.9
桂鴻,何應松,同族,0.65
潘世恩,阮元,同族,0.85
阮元,潘世恩,关联人物,0.8
李可瓊,佛山,活动于,0.9
可瓊,南海县,属于时期,0.9
徐台英,南海县,属于时期,0.9
石泉,南海县,属于时期,0.9
粤秀书院,西樵山,位于,0.9
斯偉,磻溪堡,出生于,0.95
斯偉,磻溪堡,同族,0.95
斯偉,冯敏昌,关联人物,0.85
冯敏昌,斯偉,关联人物,0.85
吴荣光,南海会馆,关联人物,0.8
光岳,梁序鏞,同族,0.9
康有为,道光乙巳年,属于时期,0.85
区玉章,粤秀书院,活动于,0.9
谭瑀,沙头堡,出生于,0.8
康有为,九江镇,活动于,0.85
康有为,九江镇,同族,0.95
祖祠,康有为,关联人物,0.85
翰林院,圆明园,承载文化,0.8
西湖书院,佛山,位于,0.85
魁岡堡,西樵山,位于,0.75
高士琦,西潦,活动于,0.85
高士琦,桑园围,活动于,0.85
朱次琦,士琦,同族,0.8
朱次琦,咸豐甲寅,活动于,0.9
朱次琦,潘進,关联人物,0.85
桑园围,乾隆甲寅,始建于,0.9
熊飞,同治元年,属于时期,0.9
耆龄,同治元年,活动于,0.9
九江堡,九江,属于时期,0.8
陈佐光,伏隆堡,出生于,0.9
阮元,桑园围,记载于,0.9
朱次琦,九江堡,出生于,0.9
順昌,蔚文书院,创建修建,0.8
順昌,蔚文书院,活动于,0.75
順昌,蔚文书院,同族,0.6
順昌,蔚文书院,关联人物,0.7
康有为,康有为故居,创建修建,0.85
韶州,英德,盛产,0.85
戴挺生,九江堡,同族,0.9
康有为,学宫,活动于,0.85
九江堡,乡正,关联人物,0.8
九江堡,佛山,盛产,0.75
陳謨,道光十三四年,活动于,0.8
云泉仙馆,西樵山,承载文化,0.8
西樵山,九江镇,盛产,0.75
伍懋官,李见钟,关联人物,0.8
康家煒,丹桂堡,属于时期,0.9
康家煒,丹桂堡,同族,0.85
徐台英,丹桂堡,同族,0.8
潘斯濂,義勇祠,记载于,0.85
杜殿元,義勇祠,创建修建,0.9
杜殿元,義勇祠,活动于,0.75
何揚先,大通堡,出生于,0.95
生菜会,九江镇,承载文化,0.8
《南海县志》,西樵山,记载于,0.9
《南海县志》,康有为故居,记载于,0.9
《南海县志》,云泉仙馆,记载于,0.9
康有为,南园,活动于,0.85
惠士奇,鶴山,传承于,0.9
林伯桐,番禺,同类,0.85
惠士奇,康熙,属于时期,0.9
惠士奇,乾隆,属于时期,0.9
林伯桐,惠士奇,同族,0.8
康有为,南海县志,记载于,0.85
康有为,云泉仙馆,活动于,0.85
崔彤光,沙头堡,活动于,0.9
朱成發,九江堡,出生于,0.9
朱成發,九江堡,活动于,0.85
潘垣书,简村,出生于,0.9
四方臺之役,石井,发生于,0.8
李公,李元江,关联人物,0.85
勞潼,何氏,同族,0.8
李昌曜,九江镇,活动于,0.8
思德壩,鼎安堡,位于,0.85
榮光,十鄕,出生于,0.85
榮光,十鄕,活动于,0.7
康有为故居,康有为,关联人物,0.85
九江双蒸酿制技艺,九江镇,盛产,0.85
李掄才,南海县志,记载于,0.9
吴荣光,南海县志,记载于,0.9
黄丹书,南海县志,记载于,0.9
九江双蒸,九江,盛产,1.0
關氏,南海縣志,记载于,0.9
甘作甫妻何氏,南海縣志,记载于,0.85
朱氏,九江堡,出生于,0.95
士琦,西海,活动于,0.85
士琦,九江,活动于,0.85
关氏,九江,同族,0.9
关氏,九江,活动于,0.85
咸豐甲寅,大桐堡,发生于,0.75
郭氏,下金甌堡,出生于,0.9
何忠士,何君鑄,同族,0.85
吳氏,潘氏,同族,0.95
區氏,潘氏,同族,0.95
潘氏,康氏,同族,0.95
潘氏,梁氏,同族,0.95
潘氏,黃氏,同族,0.95
潘氏,馮氏,同族,0.95
潘氏,區氏,同族,0.95
康氏,梁氏,同族,0.95
康氏,黃氏,同族,0.95
梁氏,黃氏,同族,0.95
张镇孙,何氏,同族,0.9
广州,安南,承载文化,0.85
广州,粤秀山,承载文化,0.95
霍文敏,佛山汾水,活动于,0.85
麥義先鋒廟,白沙,位于,0.9
佛山,西樵山,盛产,0.7
康有为,长寿寺,活动于,0.85
佛山,官窑,发生于,0.9
长寿寺,河南,承载文化,0.8
长寿寺,河南,位于,0.8
长寿寺,河南,活动于,0.8
李文茂,九江堡,活动于,0.8
西關,香山,属于时期,0.8
佛山,西關,活动于,0.7
咸丰七年,庚申,属于时期,0.9
李徵霨,南海县志,著有,0.85
佛山北帝,佛山祖庙,关联人物,0.85
佛山北帝,佛山祖庙,活动于,0.8
佛山祖庙,石湾公仔,承载文化,0.85
佛山祖庙,灰塑,承载文化,0.85
佛山祖庙,佛山秋色,承载文化,0.85
佛山祖庙,舞狮,承载文化,0.85
石湾公仔,佛山祖庙,承载文化,0.85
灰塑,佛山祖庙,承载文化,0.85
佛山秋色,佛山祖庙,承载文化,0.85
舞狮,佛山祖庙,承载文化,0.85
祖庙,佛山,承载文化,0.85
祖庙,佛山,属于时期,0.75
万福台,佛山出秋色,承载文化,0.9
祖庙,万福台,位于,0.95
祖庙,灵应牌坊,位于,0.95
祖庙,锦香池,位于,0.95
祖庙,钟鼓楼,位于,0.95
祖庙,三门,位于,0.95
祖庙,前殿,位于,0.95
祖庙,正殿,位于,0.95
祖庙,庆真楼,位于,0.95
佛山祖庙,《佛山祖庙》,记载于,0.9
佛山祖庙,北帝,关联人物,0.85
罗一星,佛山,关联人物,0.9
佛山祖庙,佛山,位于,0.9
佛山祖庙,佛山,活动于,0.85
佛山祖庙,佛山,承载文化,0.8
佛山祖庙,屈大均,著有,0.95
屈大均,佛山祖庙,活动于,0.9
佛山忠义乡志,佛山祖庙,记载于,0.85
真武大帝,佛山祖庙,关联人物,0.9
青龙,玄武,同类,0.8
白虎,玄武,同类,0.8
朱雀,玄武,同类,0.8
真武大帝,真宗,承载文化,0.75
真武大帝,真宗,著有,0.8
真武,宋代,属于时期,0.9
狄青,真武,关联人物,0.9
大德八年,武当山,记载于,0.85
真武,祖庙,承载文化,0.85
明成祖,祖庙,活动于,0.85
明成祖,真武,同族,0.8
真武神,佛山祖庙,承载文化,0.9
明成祖,佛山祖庙,创建修建,0.85
明成祖,佛山祖庙,活动于,0.8
玄天上帝,佛山祖庙,关联人物,0.75
明成祖,真武神,著有,0.8
明成祖,武当山,创建修建,0.9
真武大帝,武当山,承载文化,0.9
佛山祖庙,明代,始建于,0.9
北极紫微大帝,真武神,同族,0.9
明成祖,真武神,关联人物,0.85
佛山祖庙,珠江三角洲,位于,0.9
北帝,真武大帝,同族,1.0
佛山祖庙,《南海县志》,记载于,0.9
祖庙,佛山忠义乡志,记载于,0.9
佛山祖庙,佛山石榜,承载文化,0.9
佛山石榜,佛山,属于时期,0.85
佛山,珠江三角洲,位于,0.9
佛山,宋代,属于时期,0.9
佛山,明代,属于时期,0.85
南洋兄弟烟草公司,佛山,承载文化,0.85
佛山祖庙,佛山忠义乡志,记载于,0.9
乾隆《佛山忠义乡志》,祖庙,记载于,0.9
宋元丰年间,祖庙,始建于,0.85
屈大均,祖庙,著有,0.9
真武庙,祖庙,同类,0.85
真武,广东新语,记载于,0.9
佛山祖庙,古洛水,位于,0.9
佛山祖庙,佛山,属于时期,0.85
佛山祖庙,灵应祠,位于,0.85
泥模岗,佛山祖庙,位于,0.85
真武,佛山忠义乡志,记载于,0.9
北帝,佛山忠义乡志,记载于,0.9
祖堂,祖庙,属于时期,0.85
祖庙,祖堂,创建修建,0.8
祖庙,宣德四年,始建于,0.9
梁文慧,祖庙,创建修建,0.9
道光《佛山忠义乡志》,祖庙,记载于,0.85
民国《佛山忠义乡志》,灵应祠,记载于,0.9
道光《佛山忠义乡志》,灵应祠,记载于,0.9
正统十四年,佛山祖庙,始建于,0.9
黄萧养起义,佛山祖庙,发生于,0.85
黄萧养起义,佛山真武祖庙灵应记,记载于,0.9
佛山真武祖庙灵应记,黄萧养起义,记载于,0.9
祖庙,景泰元年,始建于,1.0
祖庙,北帝,承载文化,0.85
灵应祠,正德八年,始建于,0.9
祖庙,锦香池,承载文化,0.85
锦香池,乾隆《佛山忠义乡志》,记载于,0.9
祖庙,灵应祠,同类,0.85
祖庙,灵应祠,位于,0.9
李待问,灵应祠,创建修建,0.85
灵应祠,明万历三十一,始建于,0.8
李待问,佛山祖庙,创建修建,0.85
灵应祠,佛山祖庙,属于时期,0.8
灵应祠,佛山祖庙,位于,0.85
灵应祠,佛山祖庙,承载文化,0.8
李待问,祖庙,创建修建,0.9
李待问,祖庙,活动于,0.85
祖庙,灵应祠,属于时期,0.8
祖庙,华封台,属于时期,0.8
华封台,万福台,承载文化,0.9
万福台,祖庙,位于,0.85
李锡简,祖庙,创建修建,0.9
乾隆,佛山忠义乡志,记载于,0.9
灵应祠,祖庙,关联人物,0.8
灵应祠,旗带水,承载文化,0.85
佛山祖庙,旗带水,承载文化,0.8
乾隆《佛山忠义乡志》,佛山祖庙,记载于,1.0
灵应祠,旗带水,始建于,0.85
灵应祠,嘉庆元年,始建于,0.95
杨楷,灵应祠,创建修建,0.9
灵应祠,祖庙,位于,0.8
道光二十年,灵应祠,属于时期,0.9
佛山忠义乡志,祖庙,记载于,0.95
刘国光,佛山祖庙,活动于,0.85
刘国光,佛山祖庙,著有,0.85
乾隆,佛山祖庙,属于时期,0.9
光绪,佛山祖庙,发生于,0.85
北帝,佛山祖庙,承载文化,0.85
北帝,佛山祖庙,同族,0.8
祖庙,北帝,活动于,0.9
佛山忠义乡志,民国时期,记载于,0.9
布氏家族,祖庙,关联人物,0.85
佛山祖庙,灰塑,著有,0.8
明成祖,佛山祖庙,承载文化,0.85
黄萧养起义,佛山祖庙,承载文化,0.85
佛山祖庙,乾隆《佛山忠义乡志》,记载于,0.9
佛山祖庙,道光《佛山忠义乡志》,记载于,0.9
佛山祖庙,民国《佛山忠义乡志》,记载于,0.9
正殿,灵应祠,位于,0.9
前殿,灵应祠,位于,0.9
三门,灵应祠,位于,0.9
锦香池,灵应祠,位于,0.9
灵应牌坊,灵应祠,位于,0.9
万福台,灵应祠,位于,0.9
崇正社学,正殿,关联人物,0.85
流芳祠,正殿,关联人物,0.85
灵应祠,庆真楼,位于,0.9
灵应祠,崇正社学,位于,0.8
灵应祠,大魁堂,位于,0.75
灵应祠,民国《佛山忠义乡志》,记载于,0.8
灵应祠,民国时期,属于时期,0.9
香亭,灵应祠,位于,0.9
崇正社学,灵应祠,位于,0.8
康不《灵应祠志》,灵应祠,记载于,0.95
康不《灵应祠志》,佛山祖庙,记载于,0.8
祖庙,明宣德四年,始建于,0.8
祖庙,灵应祠,承载文化,0.9
祖庙,忠义乡,承载文化,0.8
祖庙,牌坊,活动于,0.85
祖庙,灵应牌坊,始建于,0.85
嘉庆元年,佛山同知,记载于,0.9
佛山忠义乡志,祖庙,属于时期,0.8
文魁阁,祖庙,位于,0.9
尝正社学,祖庙,位于,0.85
青龙,祖庙,位于,0.9
白虎,祖庙,位于,0.9
佛山祖庙,真武大铜像,位于,0.85
佛山祖庙,真武大铜像,承载文化,0.75
灵应祠,佛山真武祖庙灵应记,记载于,0.9
祖庙,观音,承载文化,0.85
观音,光孝寺,盛产,0.8
观音,嘉靖二十六年,记载于,0.7
光孝寺,祖庙,位于,0.85
光孝寺,祖庙,同类,0.8
灵应祠,观音堂,位于,0.9
灵应祠,观音堂,承载文化,0.85
崇正社学,观音堂,关联人物,0.8
正殿,祖庙,位于,1.0
观音像,正殿,位于,0.9
佛山市政府博物馆,正殿,承载文化,0.9
观音像,佛山市政府博物馆,承载文化,0.9
紫霄宫,佛山祖庙,位于,0.85
北帝,灵应祠,承载文化,0.95
北帝武神铜像,祖庙,位于,1.0
北帝武神铜像,明景泰年间,始建于,1.0
北帝武神铜像,祖庙,承载文化,0.9
祖庙,明景泰年间,始建于,0.85
祖庙,佛山,位于,0.9
承龙街,佛山,位于,0.9
明代,祖庙,属于时期,0.9
真武大帝,祖庙,位于,0.85
《北游记》,陈元帅,记载于,0.8
毕元帅,祖师,承载文化,0.9
赵元帅,祖师,承载文化,0.85
刘天君,《北游记》,记载于,0.9
马元帅,《北游记》,记载于,0.85
苏真人,祖庙,关联人物,0.85
苏真人,嘉靖年间,活动于,0.9
苏真人,民国《佛山忠义乡志》,记载于,0.9
赵元帅,苏真人,记载于,0.85
佛山祖庙,十八元帅,承载文化,0.85
北帝,佛山祖庙,活动于,0.8
《北游记》,佛山祖庙,记载于,0.85
《北游记》,北帝,承载文化,0.8
祖庙,明洪武五年,始建于,0.95
苏真人,佛山祖庙,关联人物,0.8
显德正直之神,佛山祖庙,关联人物,0.8
北游记,北帝,著有,0.9
北帝,前殿,承载文化,0.85
祖庙,北游记,记载于,0.9
赵元帅,康元帅,同类,0.85
赵元帅,康元帅,关联人物,0.85
陈元帅,佛山祖庙,关联人物,0.8
海瑞大红袍,佛山祖庙,承载文化,0.9
牛皋守房州,佛山祖庙,承载文化,0.9
清光绪二十五年,海瑞大红袍,始建于,0.9
清光绪二十五年,牛皋守房州,始建于,0.9
万福台,佛山祖庙,位于,0.95
崇敬门,祖庙大街,位于,0.85
灰塑,崇敬门,承载文化,0.85
灰塑,端肃门,承载文化,0.85
金漆木雕,佛山祖庙,承载文化,0.9
佛山祖庙,金漆木雕,著有,0.9
祖庙,木雕,承载文化,0.9
神案,木雕,属于时期,0.85
成利店,佛山承龙街,位于,0.9
竹林七贤,成利店,承载文化,0.85
薛刚反唐,成利店,承载文化,0.85
佛山木雕,承龙街,位于,0.9
祖庙三门,佛山木雕,承载文化,0.9
庆真楼,佛山木雕,承载文化,0.85
狄青斩王天化,天官赐福,记载于,0.9
狄青斩王天化,庆真楼,发生于,0.85
狄青斩王天化,天官赐福,承载文化,0.9
佛山祖庙,光绪二十五年,始建于,0.9
佛山祖庙,佛山木雕,承载文化,0.85
黄广华,佛山木雕,关联人物,0.9
佛山木雕,神案,承载文化,0.8
赵美容,佛山承龙街,活动于,0.85
李元霸,佛山承龙街,活动于,0.85
成利店,佛山承龙街,活动于,0.85
祖庙,佛山承龙街,承载文化,0.9
祖庙,佛山承龙街,活动于,0.8
夜战马超,祖庙三门,承载文化,0.9
八仙贺寿,祖庙三门,承载文化,0.9
将相和,祖庙三门,承载文化,0.9
竹林七贤,祖庙三门,承载文化,0.9
苏护反商,祖庙三门,承载文化,0.9
薛仁贵征西,祖庙三门,承载文化,0.9
六国大封相,祖庙三门,承载文化,0.95
三顾茅访,祖庙三门,承载文化,0.9
罗通扫北,祖庙三门,承载文化,0.9
卞庄打虎,祖庙三门,承载文化,0.9
渔歌唱晚,祖庙三门,承载文化,0.9
万福台,祖庙牌坊,位于,0.9
神案,祖庙,位于,0.9
佛山忠义乡志,神案,记载于,0.8
佛山祖庙,石狮子,位于,0.9
佛山祖庙,文如璧,承载文化,0.85
石狮子,佛山祖庙,属于时期,0.75
郭子仪,佛山祖庙,关联人物,0.9
祖庙,郭子仪,关联人物,0.85
北帝,祖庙,活动于,0.9
郭子仪,祖庙,活动于,0.85
祖庙,光绪,始建于,0.9
庆真楼,瑶池祝寿,承载文化,0.85
庆真楼,灰塑,承载文化,0.9
灰塑,庆真楼,位于,0.85
佛山祖庙,云水龙,承载文化,0.85
布根泉,祖庙,创建修建,0.85
琴棋书画,祖庙,位于,0.8
琴棋书画,祖庙,承载文化,0.85
祖庙,灰塑,承载文化,0.8
张容,祖庙,关联人物,0.9
断桥会,灰塑,承载文化,0.9
狮子,灰塑,承载文化,0.85
断桥会,万福台,承载文化,0.85
断桥会,祖庙,承载文化,0.85
布志军,祖庙,活动于,0.9
布志军,灵应牌坊,活动于,0.9
布志军,灵应祠,活动于,0.9
布志军,文魁阁,活动于,0.9
布志军,如意塔,活动于,0.9
祖庙,如意塔,承载文化,0.85
崇敬门,祖庙,属于时期,0.8
端肃门,祖庙,属于时期,0.8
崇敬门,祖庙,承载文化,0.75
端肃门,祖庙,承载文化,0.75
佛山祖庙,灰塑作品,承载文化,0.85
阮时和堂,佛山,盛产,0.85
明成化大铜钟,祖庙,位于,1.0
明成化大铜钟,佛山,盛产,0.9
明成化大铜钟,佛山祖庙,位于,0.9
明成化大铜钟,佛山祖庙,承载文化,0.85
香亭,正殿,位于,0.85
香亭,前殿,位于,0.85
佛山,北帝,承载文化,0.85
佛山秋色,佛山,盛产,0.9
北帝,佛山秋色,传承于,0.8
佛山祖庙,铸造,承载文化,0.85
佛山祖庙,铸造,属于时期,0.8
佛山祖庙,北帝,承载文化,0.9
佛山祖庙,醒狮,承载文化,0.85
佛山祖庙,醒狮,属于时期,0.8
万福台,金漆木雕,承载文化,0.85
佛山祖庙,黄蒲养起义,发生于,0.85
佛山祖庙,黄蒲养起义,记载于,0.7
祖庙,圣显事件,承载文化,0.85
圣显事件,黄萧养起义,属于时期,0.9
佛山忠义乡志,灵应祠,记载于,0.95
李待问,灵应祠,活动于,0.85
李待问,灵应祠,著有,0.85
灵应祠,祖庙,创建修建,0.75
北帝,灵应祠,著有,0.9
黄萧养起义,祖庙,发生于,0.85
北帝,黄萧养起义,承载文化,0.8
佛山祖庙,明宣德四年,记载于,0.9
北帝,元代,属于时期,0.85
祖庙,元代,始建于,0.85
圣显事件,祖庙,发生于,0.85
圣显事件,明洪武,承载文化,0.8
圣显事件,明宣德四年,发生于,0.9
佛山祖庙,北帝,著有,0.85
佛山祖庙,明景泰初年,始建于,0.8
北帝,黄氏,关联人物,0.85
黄氏,北帝,关联人物,0.85
苏真人,祖庙,活动于,0.85
灵应祠,嘉靖,始建于,0.8
苏真人,灵应祠,创建修建,0.95
苏真人,佛山祖庙,活动于,0.9
苏真人,佛山祖庙,属于时期,0.85
凤林茶楼,祖庙,关联人物,0.9
凤林茶楼,祖庙,活动于,0.85
凤林茶楼,祖庙,位于,0.9
北帝,凤林茶楼,活动于,0.85
佛山镇,祖庙,位于,0.9
土地公,祖庙,位于,0.8
《明史》,佛山祖庙,记载于,0.85
祖庙,忠义流芳祠,关联人物,0.8
忠义流芳祠,灵应祠,位于,0.9
忠义流芳祠,民国《佛山忠义乡志》,记载于,0.9
三元市,灵应祠,位于,0.8
北帝坐祠堂,佛山祖庙,承载文化,0.9
北帝巡游,佛山祖庙,承载文化,0.9
烧大爆,佛山祖庙,承载文化,0.9
北帝诞,佛山祖庙,承载文化,0.9
乡饮酒礼,佛山祖庙,承载文化,0.9
行祖庙,佛山祖庙,承载文化,0.9
春秋论祭,北帝,承载文化,0.9
乾隆《佛山忠义乡志》,北帝,记载于,0.8
春秋论祭,北帝,活动于,0.9
出秋色,佛山忠义乡志,记载于,0.9
灵应祠,祖庙,属于时期,0.8
灵应祠,出秋色,承载文化,0.75
佛山祖庙,景泰四年,记载于,0.8
北帝,祖庙,承载文化,0.9
八图,佛山忠义乡志,记载于,0.85
北帝坐祠堂,北帝诞,发生于,0.85
陈启沅,佛山,属于时期,0.9
北帝出巡,佛山,发生于,0.9
北帝出巡,佛山,承载文化,0.8
北帝,灵应祠,活动于,0.9
祖庙,北帝行宫,位于,0.9
北帝行宫,北帝武神铜像,承载文化,0.85
北帝巡游,北帝武神铜像,承载文化,0.9
北帝巡游,北帝武神铜像,活动于,0.85
北帝武神铜像,北帝巡游,承载文化,0.9
北帝,北帝行宫,承载文化,0.9
北帝出巡,乾隆《佛山忠义乡志》,记载于,0.8
北帝巡游,祖庙,承载文化,0.85
霍氏,观音堂,关联人物,0.85
北帝巡游,佛山,发生于,0.8
北帝巡游,观音堂,承载文化,0.9
佛山,北帝巡游,发生于,0.85
佛山,观音堂,盛产,0.75
行祖庙,佛山祖庙,关联人物,0.8
忠乡义志,佛山祖庙,记载于,0.75
正月初一,佛山祖庙,发生于,0.85
人日,佛山祖庙,发生于,0.85
佛山,祖庙,活动于,0.8
佛山祖庙,锦香池,位于,0.85
北帝,佛山祖庙,关联人物,0.8
万福台,祖庙,活动于,0.95
万福台,粤剧,承载文化,0.9
佛山祖庙,抢花炮,承载文化,0.75
烧大爆仪式,佛山祖庙,承载文化,0.85
北帝,佛山祖庙,属于时期,0.75
佛山祖庙,乡饮酒礼,承载文化,0.9
乡饮酒礼,北帝,承载文化,0.8
佛山祖庙,乾隆,位于,0.85
道光,佛山忠义乡志,记载于,0.85
佛山忠义乡志,佛山镇论,记载于,0.75
北帝诞,道光《佛山忠义乡志》,记载于,0.85
佛山祖庙,嘉会堂,承载文化,0.85
嘉会堂,佛山祖庙,关联人物,0.85
嘉会堂,佛山祖庙,活动于,0.85
烧大爆仪式,北帝,发生于,0.75
演神功戏,北帝,发生于,0.8
三月三,祖庙,承载文化,0.9
三月三,万福台,承载文化,0.9
北帝诞,祖庙,承载文化,0.85
北帝诞,万福台,承载文化,0.85
万福台,灵应祠,承载文化,0.85
万福台,佛山祖庙,活动于,0.85
三月三,祖庙,发生于,0.9
北帝诞,北帝,关联人物,0.9
北帝诞,北帝,活动于,0.85
佛山祖庙,北帝诞,承载文化,0.9
北帝巡游,佛山忠义乡志,记载于,0.9
佛山祖庙,北帝坐祠堂,承载文化,0.8
佛山祖庙,北帝巡游,承载文化,0.8
北帝诞,北帝坐祠堂,承载文化,0.9
季华乡,佛山堡,属于时期,0.9
季华乡,忠义乡,同族,0.85
忠义乡,佛山堡,属于时期,0.9
霍佛儿,祖庙,创建修建,0.9
祖庙,佛山,活动于,0.85
乡仕会馆,佛山,位于,0.9
乡仕会馆,佛山,属于时期,0.85
乡仕会馆,佛山,承载文化,0.75
民国《佛山忠义乡志》,祖庙,记载于,0.8
李待问,嘉会堂,创建修建,0.9
李待问,嘉会堂,活动于,0.85
李待问,忠义营,创建修建,0.9
李孝问,嘉会堂,同族,0.8
忠义营,祖庙,位于,0.85
嘉会堂,灵应祠,位于,0.9
嘉会堂,祖庙,属于时期,0.85
李公,嘉会堂,创建修建,0.9
李公,乡仕会馆,创建修建,0.85
乡仕会馆,祖庙,承载文化,0.8
李待问,祖庙,关联人物,0.9
李待问,文昌书院,创建修建,0.95
明末,李待问,同族,0.7
大魁堂,佛山,位于,0.9
大魁堂,灵应祠,关联人物,0.85
大魁堂,崇正社学,关联人物,0.85
崇正社学,灵应祠,关联人物,0.9
崇正社学,大魁堂,关联人物,0.85
乾隆《佛山忠义乡志》,崇正社学,记载于,0.95
乾隆《佛山忠义乡志》,大魁堂,记载于,0.8
大魁堂,灵应祠,位于,0.9
光孝寺,大魁堂,位于,0.85
崇正社学,大魁堂,承载文化,0.9
大魁堂,祖庙,承载文化,0.9
大魁堂,雍正元年,活动于,0.8
佛山同知,佛山镇,活动于,0.9
尝产,祖庙,属于时期,0.9
祖庙,佛山镇,位于,0.85
民国《佛山忠义乡志》,大魁堂,记载于,0.85
祖庙,大魁堂,承载文化,0.85
大魁党,团防局,发生于,0.9
大魁党,光绪,属于时期,0.85
大魁堂,佛山忠义乡志,记载于,0.85
大魁堂,团防局,活动于,0.9
大魁堂,佛山忠义乡志,属于时期,0.85
佛山祖庙,佛山镇议会,发生于,0.8
佛山祖庙,中国共产党佛山支部,发生于,0.8
佛山祖庙,黄萧养起义,承载文化,0.85
佛山祖庙,忠义乡,属于时期,0.9
佛山祖庙,灵应祠,承载文化,0.9
佛山,民国,属于时期,0.9
佛山,南海县,属于时期,0.9
南海县,广州,属于时期,0.9
陈子升,南海,活动于,0.85
雍正,佛山同知署,始建于,0.9
杨永斌,佛山镇,记载于,0.8
陈炎宗,乾隆《佛山忠义乡志》,著有,0.8
赵廷宾,佛山祖庙,创建修建,0.9
杨楷,灵应祠,活动于,0.85
佛山祖庙,灵应祠,关联人物,0.8
佛山祖庙,灵应祠,同族,0.8
祖庙区,祖庙,位于,0.9
佛山祖庙,崇敬门,位于,0.9
佛山祖庙,祖庙大街,位于,0.9
